Weighting,Starting Battery Capacity (Wh),Route Distance (m),Travel Time (s),CS stops,CS Stop Duration (s),Algorithm Runtime (s),Remaining Battery Capacity At End (Wh),Number of EVs Charging,Start Edge,End Edge
A,500,50.93,51.00,0,[],0.3432943820953369,494.27,[],28011550#1,-27928341#0
A,500,2213.34,1769.00,1,[172],0.291750431060791,1210.71,[1],28038935#0,141271792#0
A,500,28.77,9.00,0,[],0.2992575168609619,494.85,[],-163313151#0,-27929296#4
A,500,736.47,497.00,1,[231],0.025521278381347656,1736.28,[2],155768982#3,4910564#1
A,500,2333.49,1140.00,1,[495],0.18716001510620117,1282.36,[1],-850565385,197713164#4
A,500,32.76,10.00,0,[],0.45589137077331543,493.89,[],4947755#4,27943885#2
A,500,3811.21,1360.00,1,[311],0.4048473834991455,1276.16,[1],28037925#0,28039391#6
A,500,2364.18,1073.00,1,[336],0.07756733894348145,1194.86,[1],119926723#5,-159132009#1
A,500,4220.72,2003.00,1,[242],1.1339738368988037,1473.42,[1],75313244#1,159131952#1
A,500,948.84,968.00,1,[329],0.021018266677856445,1034.76,[0],141271792#5,137910009#1
A,500,3518.11,3101.00,1,[336],0.30926513671875,1318.84,[1],-27930086,155767977#0
A,500,3384.41,1258.00,1,[347],0.5259511470794678,1260.20,[1],27943766#0,-478364360#0
A,500,1342.89,410.00,1,[495],0.030025720596313477,1384.92,[1],101850720#1,-159131967
A,500,5025.29,4036.00,1,[172],0.9868464469909668,1133.96,[1],-75313258#3,-171645490
A,500,77.94,16.00,0,[],0.00450444221496582,483.94,[],121174584#1,799717910
A,500,38.31,11.00,0,[],0.0040035247802734375,491.24,[],27946839#1,818552203#3
A,500,1449.85,1052.00,1,[172],0.11009478569030762,1323.46,[1],163566186#3,-28039469
A,500,2698.76,3136.00,1,[172],0.6170299053192139,1331.87,[1],-198725308#1,171879642#1
A,500,260.96,426.00,1,[311],0.008507251739501953,389.21,[1],28081598#1,172454782#2
A,500,1927.09,581.00,1,[273],0.245711088180542,1157.27,[1],155767482,-28039375#0
A,500,29.63,10.00,0,[],0.18866205215454102,494.37,[],28022555#1,163566222
A,500,1969.47,721.00,1,[242],0.19566798210144043,89.90,[1],679601200#0,589896292#1
A,500,2473.66,2238.00,1,[231],0.2892482280731201,0.00,[2],-171647548#4,-159131996#2
A,500,3324.78,1185.00,1,[495],0.3923368453979492,1294.06,[1],-122066617#2,28078586
A,500,3017.28,1935.00,1,[495],0.3242785930633545,1480.37,[1],-90542365#7,-353919596
A,500,3772.00,1134.00,1,[311],0.4538896083831787,0.00,[1],847193371#2,-187746138#5
A,500,86.76,17.00,0,[],0.004003286361694336,479.73,[],325259851#1,3661460#1
A,500,0.00,1.00,0,[],0.27173328399658203,500.00,[],27994860#1,-28082116#1
A,500,2340.47,1831.00,1,[172],0.19466733932495117,0.00,[1],-28038923#4,-155768539#0
A,500,3035.47,2739.00,1,[273],1.0564069747924805,1443.40,[1],592693567#1,-159131970#2
A,500,6159.96,2162.00,1,[495],0.8792548179626465,1178.21,[1],-159132023#1,630379133
A,500,4406.40,2836.00,1,[231],0.8867595195770264,1514.28,[2],168346696#2,-171652556#1
A,500,20.90,8.00,0,[],0.3998434543609619,496.37,[],163313151#4,-3663345#2
A,500,1752.12,1286.00,1,[495],0.22219133377075195,2700.28,[1],-170161111,30264279#0
A,500,5458.12,3850.00,1,[336],1.0729210376739502,1013.84,[1],353898756#0,-4721531#7
A,500,25.38,9.00,0,[],0.004002809524536133,494.44,[],-28038166,-171879633#4
A,500,3266.11,2817.00,1,[329],0.33779001235961914,1183.31,[0],196377630#1,27946566#0
A,500,1278.92,1251.00,1,[172],0.3848302364349365,196.15,[1],159257688,-168609056#1
A,500,90.25,17.00,0,[],0.16414141654968262,479.25,[],122066612#0,-27946464#1
A,500,6901.69,3735.00,1,[495],1.407207727432251,1843.81,[1],30076496#3,27946919#1
A,500,31.43,10.00,0,[],0.38683223724365234,494.87,[],678815703#1,-4910569#3
A,500,3816.26,1365.00,1,[336],0.6020164489746094,1535.76,[1],-378559842#8,28025126#4
A,500,5069.36,2197.00,1,[372],0.4363741874694824,1098.73,[0],27683082#0,-47441103#1
A,500,3296.54,1076.00,1,[311],0.28624558448791504,1407.25,[1],156340405#0,28008883
A,500,4510.12,2428.00,1,[372],0.0980844497680664,854.49,[0],-27683077#0,-155105717#4
A,500,2160.94,841.00,1,[231],0.10709238052368164,0.00,[2],28021640#2,4816237#0
A,500,7282.75,2492.00,1,[495],1.3516597747802734,1659.48,[1],-159131952#1,229076199
A,500,21.96,8.00,0,[],0.29325199127197266,495.31,[],-798784,144335316#0
A,500,4134.15,1365.00,1,[336],0.6315419673919678,1833.32,[1],159131977,-145039123#1
A,500,13.01,7.00,0,[],0.0040035247802734375,497.80,[],-27944075#1,30342903#1
